schid,pup_pop,zoneid,z_inf98,distlake,latr_pup,mk96_s,z9899_78,z9899_34,z9899_56,wgrp,sch1_1km_original,sch2_1km_original,sch3_1km_original,schT_1km_original,pop1_1km_original,pop2_1km_original,pop3_1km_original,popT_1km_original,sch1_2km_original,sch2_2km_original,sch3_2km_original,schT_2km_original,pop1_2km_original,pop2_2km_original,pop3_2km_original,popT_2km_original,sch1_3km_original,sch2_3km_original,sch3_3km_original,schT_3km_original,pop1_3km_original,pop2_3km_original,pop3_3km_original,popT_3km_original,sch1_4km_original,sch2_4km_original,sch3_4km_original,schT_4km_original,pop1_4km_original,pop2_4km_original,pop3_4km_original,popT_4km_original,sch1_5km_original,sch2_5km_original,sch3_5km_original,schT_5km_original,pop1_5km_original,pop2_5km_original,pop3_5km_original,popT_5km_original,sch1_6km_original,sch2_6km_original,sch3_6km_original,schT_6km_original,pop1_6km_original,pop2_6km_original,pop3_6km_original,popT_6km_original,sch1_36k_original,sch2_36k_original,sch3_36k_original,schT_36k_original,pop1_36k_original,pop2_36k_original,pop3_36k_original,popT_36k_original,schT_1km_updated,popT_1km_updated,schT_2km_updated,popT_2km_updated,schT_3km_updated,popT_3km_updated,schT_4km_updated,popT_4km_updated,schT_5km_updated,popT_5km_updated,schT_6km_updated,popT_6km_updated,sch1_1km_updated,pop1_1km_updated,sch1_2km_updated,pop1_2km_updated,sch1_3km_updated,pop1_3km_updated,sch1_4km_updated,pop1_4km_updated,sch1_5km_updated,pop1_5km_updated,sch1_6km_updated,pop1_6km_updated,sch2_1km_updated,pop2_1km_updated,sch2_2km_updated,pop2_2km_updated,sch2_3km_updated,pop2_3km_updated,sch2_4km_updated,pop2_4km_updated,sch2_5km_updated,pop2_5km_updated,sch2_6km_updated,pop2_6km_updated,sch3_1km_updated,pop3_1km_updated,sch3_2km_updated,pop3_2km_updated,sch3_3km_updated,pop3_3km_updated,sch3_4km_updated,pop3_4km_updated,sch3_5km_updated,pop3_5km_updated,sch3_6km_updated,pop3_6km_updated,schT_36k_updated,popT_36k_updated,sch1_36k_updated,pop1_36k_updated,sch2_36k_updated,pop2_36k_updated,sch3_36k_updated,pop3_36k_updated
108,531,4,.5090909,2.964,.0056497175,-.51436818,.5,.82352942,.79591835,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,527.54071,81.548676,609.08936,0,1,1,2,0,527.54071,81.548676,609.08936,0,2,1,3,0,763.31287,81.548676,844.86157,0,3,2,5,0,1347.4609,671.92059,2019.3816,0,2,1,3,0,819.92023,590.37195,1410.2922,0,0,0,0,2,609.08942,2,609.08942,3,844.86163,5,2019.3815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,527.54071,1,527.54071,2,763.31293,3,1347.4609,0,0,0,0,1,81.548683,1,81.548683,1,81.548683,2,671.92059,3,1410.2922,0,0,2,819.92023,1,590.37189
109,603,3,.39583334,8.4139996,.0016583748,.64825106,.32380953,.53797466,.42105263,2,0,0,0,0,0,0,0,0,1,0,0,1,272.07755,0,0,272.07755,4,0,0,4,1344.517,0,0,1344.517,4,0,0,4,1344.517,0,0,1344.517,5,0,3,8,1856.0525,0,1109.3173,2965.3696,5,0,3,8,1856.0525,0,1109.3173,2965.3696,1,0,3,4,511.53552,0,1109.3173,1620.8527,0,0,1,272.07751,4,1344.5168,6,2289.9011,9,3471.2422,9,3471.2422,0,0,1,272.07751,4,1344.5168,5,1856.0524,5,1856.0524,5,1856.0524,0,0,0,0,0,0,0,0,1,505.8725,1,505.8725,0,0,0,0,0,0,1,433.84879,3,1109.3174,3,1109.3174,5,2126.7251,1,511.53552,1,505.8725,3,1109.3174
115,560,1,.27247956,6.605,.0035714286,-.43559179,.21428572,.42292491,.3018868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,627.55469,392.33334,0,1019.8881,2,2,0,4,627.55469,898.09528,0,1525.6499,3,2,0,5,1110.2604,898.09528,0,2008.3557,3,2,0,5,1110.2604,898.09528,0,2008.3557,1,1,0,2,482.70569,505.76193,0,988.46765,0,0,1,609.84558,5,2088.4619,8,3281.8896,15,5615.502,16,6075.6392,0,0,0,0,2,627.55469,3,1110.2604,4,1394.3888,4,1394.3888,0,0,0,0,1,392.33331,2,898.09521,4,1799.0044,5,2259.1416,0,0,1,609.84558,2,1068.574,3,1273.5339,7,2422.1089,7,2422.1089,11,3987.1772,2,766.83411,4,1866.8083,5,1353.5349
116,526,5,.38425925,1.798,.0057034222,.0072243139,.43137255,.52222222,.48076922,2,0,0,0,0,0,0,0,0,0,1,0,1,0,228.76282,0,228.76282,1,2,1,4,376.59109,734.52472,292.07767,1403.1935,1,3,2,6,376.59109,821.3819,508.67142,1706.6444,2,3,4,9,775.60626,821.3819,1577.2454,3174.2334,3,3,5,11,1282.1852,821.3819,2011.0942,4114.6611,2,1,4,7,905.59412,86.857178,1719.0166,2711.4678,0,0,1,228.7628,4,1403.1936,7,2316.49,9,3174.2334,11,4114.6611,0,0,0,0,1,376.59109,1,376.59109,2,775.60632,3,1282.1852,0,0,1,228.7628,2,734.52472,3,821.38184,3,821.38184,3,821.38184,0,0,0,0,1,292.0777,3,1118.5171,4,1577.2454,5,2011.0941,7,2711.468,2,905.59412,1,86.857117,4,1719.0164
117,244,5,.38425925,9.0579996,.0081967209,-1.3017366,.43137255,.52222222,.48076922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,203.64944,1020.106,168.43285,1392.1884,3,2,2,7,1130.3392,1020.106,602.28162,2752.7268,4,2,2,8,1380.5938,1020.106,602.28162,3002.9814,4,4,3,11,1380.5938,1423.2489,793.24713,3597.0898,3,2,2,7,1176.9443,403.14288,624.81427,2204.9014,0,0,0,0,4,1392.1882,7,2752.7268,8,3002.9814,11,3597.0898,0,0,0,0,1,203.6494,3,1130.3391,4,1380.5936,4,1380.5936,0,0,0,0,2,1020.106,2,1020.106,2,1020.106,4,1423.2488,0,0,0,0,1,168.4328,2,602.28162,2,602.28162,3,793.24707,7,2204.9014,3,1176.9442,2,403.14276,2,624.81427
118,566,5,.38425925,10.423,.0035335689,.20428106,.43137255,.52222222,.48076922,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,464.43231,0,168.43285,632.86517,2,0,2,4,464.43231,0,359.39835,823.83069,3,2,3,8,668.08179,830.51923,793.24713,2291.8481,5,3,3,11,1594.7716,1124.2423,793.24713,3512.261,3,3,2,8,1130.3394,1124.2423,624.81427,2879.3958,0,0,0,0,3,632.86511,5,1140.1163,8,2291.8479,13,4053.999,0,0,0,0,2,464.43231,2,464.43231,3,668.08173,5,1594.7714,0,0,0,0,0,0,1,316.28571,2,830.51923,3,1124.2424,0,0,0,0,1,168.4328,2,359.39832,3,793.24707,5,1334.9851,10,3421.134,3,1130.3391,3,1124.2424,4,1166.5522
119,675,6,.41836736,11.711,.002962963,.20533262,.40944883,.52459013,.45945945,2,1,0,0,1,284.12845,0,0,284.12845,2,0,1,3,766.83411,0,204.95999,971.79407,4,0,1,5,1548.9639,0,204.95999,1753.9238,5,0,2,7,1682.5433,0,536.19147,2218.7349,7,1,3,11,2462.7263,392.33334,850.95081,3706.0105,7,1,3,11,2462.7263,392.33334,850.95081,3706.0105,3,1,2,6,913.76245,392.33334,645.99084,1952.0867,1,284.12839,3,971.79413,5,1753.9238,8,2533.4939,12,4212.5889,15,5061.3198,1,284.12839,2,766.83411,4,1548.9639,5,1682.5432,8,2969.3049,9,3284.1218,0,0,0,0,0,0,0,0,1,392.33331,1,392.33331,0,0,1,204.96001,1,204.96001,3,850.95068,3,850.95068,5,1384.8649,10,3307.3962,5,1735.158,1,392.33331,4,1179.9049
133,14,3,.39583334,,,-.82672077,.32380953,.53797466,.42105263,2,0,0,0,0,0,0,0,0,1,0,0,1,291.09415,0,0,291.09415,1,2,0,3,291.09415,1250.7385,0,1541.8326,2,2,2,6,846.81714,1250.7385,809.74695,2907.3027,3,4,4,11,1224.0454,1815.8831,1596.1967,4636.125,3,4,4,11,1224.0454,1815.8831,1596.1967,4636.125,2,2,4,8,932.95129,565.14453,1596.1967,3094.2925,0,0,1,291.09409,3,1541.833,8,3693.7527,15,6202.9448,17,7314.6338,0,0,1,291.09409,1,291.09409,2,846.81714,5,1933.3715,5,1933.3715,0,0,0,0,2,1250.739,2,1250.739,4,1815.8837,6,2927.5723,0,0,0,0,0,0,4,1596.1968,6,2453.6897,6,2453.6897,14,5772.8008,4,1642.2773,4,1676.8333,6,2453.6897
134,15,3,.39583334,5.5830002,,-.76125419,.32380953,.53797466,.42105263,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,219.375,219.375,2,1,1,4,1067.2584,14,219.375,1300.6334,4,1,3,8,1556.1432,14,1192.6472,2762.7905,4,2,4,10,1556.1432,1250.0415,1583.9034,4390.0879,4,2,5,11,1556.1432,1250.0415,1863.3175,4669.502,2,1,4,7,488.88477,1236.0415,1643.9425,3368.8687,0,0,1,219.375,4,1300.6334,8,2762.7905,10,4390.0884,14,5767.7251,0,0,0,0,2,1067.2584,4,1556.1432,4,1556.1432,5,1828.2207,0,0,0,0,1,14,1,14,2,1250.042,3,1485.8142,0,0,1,219.375,1,219.375,3,1192.6473,4,1583.9034,6,2453.6897,10,4467.0908,3,760.96228,2,1471.8142,5,2234.3147
140,509,1,.27247956,6.427,.0058939094,.41114995,.21428572,.42292491,.3018868,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,751.37897,708.61908,826.43933,2286.4375,2,3,4,9,751.37897,1214.381,1443.6611,3409.4211,4,3,4,11,1384.3882,1214.381,1443.6611,4042.4302,4,3,4,11,1384.3882,1214.381,1443.6611,4042.4302,2,1,2,5,633.00922,505.7619,617.2218,1755.9927,0,0,0,0,6,2286.437,9,3409.4211,15,5095.1489,20,6627.0205,0,0,0,0,2,751.37891,2,751.37891,4,1384.3882,5,1867.0938,0,0,0,0,2,708.61902,3,1214.3809,5,1761.3752,7,2171.7327,0,0,0,0,2,826.43939,4,1443.6613,6,1949.386,8,2588.1948,14,4340.584,3,1115.7148,5,1463.1136,6,1761.7554
141,448,8,.22068965,20.502001,.0044642859,.89688855,.23376623,.31654677,.22105263,2,0,1,0,1,0,184.9617,0,184.9617,0,2,0,2,0,452.67099,0,452.67099,1,3,2,6,323.33856,722.79901,770.30603,1816.4436,1,3,4,8,323.33856,722.79901,1206.5162,2252.6538,3,3,5,11,1058.1715,722.79901,1545.4814,3326.4519,3,3,5,11,1058.1715,722.79901,1545.4814,3326.4519,2,0,3,5,734.83295,0,775.17542,1510.0083,1,184.9617,2,452.67099,6,1816.4435,8,2252.6536,12,3549.3677,16,4932.4048,0,0,0,0,1,323.33859,1,323.33859,4,1281.0876,5,1816.4706,1,184.9617,2,452.67099,3,722.79895,3,722.79895,3,722.79895,6,1570.4534,0,0,0,0,2,770.30603,4,1206.5162,5,1545.4813,5,1545.4813,10,3115.9617,4,1493.132,3,847.65442,3,775.17529
142,272,1,.27247956,8.4799995,.011029412,.7282151,.21428572,.42292491,.3018868,1,0,1,0,1,0,392.33334,0,392.33334,0,1,0,1,0,392.33334,0,392.33334,2,1,3,6,889.33368,392.33334,1098.632,2380.2991,3,2,5,10,1372.0393,708.61908,1913.4375,3994.0959,3,3,5,11,1372.0393,890.21356,1913.4375,4175.6904,3,3,5,11,1372.0393,890.21356,1913.4375,4175.6904,1,2,2,5,482.70563,497.88022,814.80554,1795.3914,1,392.33331,1,392.33331,6,2380.2991,10,3994.0959,17,6208.0171,19,6708.8647,0,0,0,0,2,889.33362,3,1372.0393,5,1906.4221,5,1906.4221,1,392.33331,1,392.33331,1,392.33331,2,708.61902,5,1980.5989,5,1980.5989,0,0,0,0,3,1098.6318,5,1913.4374,7,2320.9966,9,2821.8445,13,4328.5664,3,1017.0885,4,1588.2656,6,1723.2126
143,348,8,.22068965,19.381001,.0057471264,-.48919421,.23376623,.31654677,.22105263,1,0,0,0,0,0,0,0,0,0,1,1,2,0,270.12799,219.77304,489.90103,2,3,2,7,537.73297,860.37781,436.2103,1834.321,2,5,4,11,537.73297,1594.0568,1206.5162,3338.3059,2,5,4,11,537.73297,1594.0568,1206.5162,3338.3059,2,5,4,11,537.73297,1594.0568,1206.5162,3338.3059,0,2,2,4,0,733.67896,770.30591,1503.9849,0,0,2,489.901,7,1834.321,11,3338.3057,12,3471.8853,14,4406.6431,0,0,0,0,2,537.73303,2,537.73303,3,671.3125,5,1606.0703,0,0,1,270.12799,3,860.37781,5,1594.0566,5,1594.0566,5,1594.0566,0,0,1,219.77299,2,436.21021,4,1206.5162,4,1206.5162,4,1206.5162,7,2572.3223,3,1068.3373,2,733.67883,2,770.30603
144,231,6,.41836736,13.875,.0086580086,-.15339896,.40944883,.52459013,.45945945,3,0,0,0,0,0,0,0,0,1,0,0,1,136.56757,0,0,136.56757,2,1,0,3,671.95044,181.59448,0,853.54492,2,1,1,4,671.95044,181.59448,314.75934,1168.3042,3,2,4,9,1091.9666,475.31757,1299.1016,2866.3857,4,2,5,11,1574.6722,475.31757,1504.0616,3554.0515,2,1,5,8,902.7218,293.72308,1504.0616,2700.5066,0,0,1,136.5676,3,853.54492,4,1168.3042,9,2866.3857,17,5518.6108,0,0,1,136.5676,2,671.95044,2,671.95044,3,1091.9666,6,2103.6006,0,0,0,0,1,181.5945,1,181.5945,2,475.31763,5,1719.9836,0,0,0,0,0,0,1,314.75931,4,1299.1016,6,1695.0271,14,4665.0664,4,1431.6501,4,1538.3892,6,1695.0271
158,210,2,.53264606,7.415,.014285714,-.28349531,.4296875,.755,.63218391,1,0,0,0,0,0,0,0,0,1,0,1,2,555.72296,0,466.23657,1021.9595,1,0,2,3,555.72296,0,685.61157,1241.3345,1,1,2,4,555.72296,14.696969,685.61157,1256.0315,3,2,2,7,1358.3525,28.69697,685.61157,2072.6611,3,2,2,7,1358.3525,28.69697,685.61157,2072.6611,2,2,0,4,802.62958,28.69697,0,831.32666,0,0,2,1021.9596,3,1241.3346,4,1256.0316,7,2072.6611,7,2072.6611,0,0,1,555.72302,1,555.72302,1,555.72302,3,1358.3525,3,1358.3525,0,0,0,0,0,0,1,14.69697,2,28.69697,2,28.69697,0,0,1,466.2366,2,685.61157,2,685.61157,2,685.61157,2,685.61157,4,831.32648,2,802.62952,2,28.69697,0,0
164,428,1,.27247956,9.2130003,.004672897,.093832403,.21428572,.42292491,.3018868,2,0,1,0,1,0,392.33334,0,392.33334,0,1,0,1,0,392.33334,0,392.33334,2,1,3,6,889.33368,392.33334,1098.632,2380.2991,3,2,5,10,1372.0393,708.61908,1913.4375,3994.0959,3,3,5,11,1372.0393,890.21356,1913.4375,4175.6904,3,3,5,11,1372.0393,890.21356,1913.4375,4175.6904,1,2,2,5,482.70563,497.88022,814.80554,1795.3914,1,244.8,1,244.8,6,2232.7654,10,3846.5627,17,6060.4844,19,6561.332,1,244.8,1,244.8,3,1134.1335,4,1616.8394,6,2151.2222,6,2151.2222,0,0,0,0,0,0,1,316.28571,4,1588.2654,4,1588.2654,0,0,0,0,3,1098.6318,5,1913.4374,7,2320.9966,9,2821.8445,13,4328.5664,3,1017.0886,4,1588.2654,6,1723.2126
165,251,8,.22068965,18.304001,.0039840639,-.60012811,.23376623,.31654677,.22105263,1,0,0,0,0,0,0,0,0,0,1,0,1,0,465.96957,0,465.96957,2,1,1,4,638.15546,465.96957,219.77304,1323.8981,2,2,2,6,638.15546,736.0976,436.2103,1810.4634,4,4,2,10,1171.11,1326.3474,436.2103,2933.6677,4,4,3,11,1171.11,1326.3474,886.28333,3383.7407,2,3,2,7,532.95453,860.37781,666.51025,2059.8428,0,0,1,465.9696,4,1323.8981,7,1944.0427,10,2933.6675,13,3971.6826,0,0,0,0,2,638.15552,3,771.73499,4,1171.11,4,1171.11,0,0,1,465.9696,1,465.9696,2,736.0976,4,1326.3474,5,1594.0566,0,0,0,0,1,219.77299,2,436.21021,2,436.21021,4,1206.5162,9,2647.7847,2,532.95447,4,1128.087,3,986.74323
166,516,6,.41836736,18.815001,.003875969,.35710931,.40944883,.52459013,.45945945,2,0,0,0,0,0,0,0,0,1,0,0,1,222.91608,0,0,222.91608,1,0,1,2,222.91608,0,219.77304,442.68912,3,0,2,5,861.07153,0,436.2103,1297.2819,4,1,2,7,994.65106,270.12799,436.2103,1700.9894,5,3,3,11,1394.026,860.37781,886.28333,3140.687,4,3,2,9,1171.1099,860.37781,666.51025,2697.9978,0,0,1,222.91611,2,442.68909,6,1567.4097,7,1700.9893,11,3140.687,0,0,1,222.91611,1,222.91611,3,861.07159,4,994.65112,5,1394.0261,0,0,0,0,0,0,1,270.12799,1,270.12799,3,860.37781,0,0,0,0,1,219.77299,2,436.21021,2,436.21021,3,886.2832,9,2697.998,4,1171.11,3,860.37781,2,666.51019
167,675,1,.27247956,5.0840001,.0059259259,.16520551,.21428572,.42292491,.3018868,3,0,0,0,0,0,0,0,0,1,1,0,2,506.57895,505.7619,0,1012.3408,1,1,1,3,506.57895,505.7619,458.72839,1471.0692,2,2,3,7,751.37897,898.09528,967.39978,2616.874,3,5,3,11,1134.1337,1903.281,967.39978,4004.8145,3,5,3,11,1134.1337,1903.281,967.39978,4004.8145,2,4,2,8,627.55469,1397.519,508.67139,2533.7451,0,0,2,1012.3408,3,1471.0692,9,3459.7656,11,4004.814,17,5795.8315,0,0,1,506.57889,1,506.57889,3,1134.1335,3,1134.1335,5,1993.4304,0,0,1,505.7619,1,505.7619,3,1358.2324,5,1903.281,6,1990.1382,0,0,0,0,1,458.72839,3,967.3999,3,967.3999,6,1812.2633,14,4324.7622,4,1486.8516,5,1484.3762,5,1353.5349
168,243,8,.22068965,20.502001,.012345679,-.14201903,.23376623,.31654677,.22105263,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,219.77304,219.77304,1,0,2,3,323.33856,0,669.84607,993.18463,2,4,2,8,546.25464,1326.3474,669.84607,2542.4482,3,5,2,10,861.07153,1594.0568,669.84607,3124.9744,3,5,3,11,861.07153,1594.0568,990.07904,3445.2073,2,5,1,8,537.73297,1594.0568,320.23297,2452.0227,0,0,1,219.77299,3,993.18457,8,2542.448,10,3124.9741,11,3445.207,0,0,0,0,1,323.33859,2,546.2547,3,861.07159,3,861.07159,0,0,0,0,0,0,4,1326.3474,5,1594.0566,5,1594.0566,0,0,1,219.77299,2,669.84601,2,669.84601,2,669.84601,3,990.07898,8,2452.0225,2,537.73303,5,1594.0566,1,320.23297
182,1351,3,.39583334,.79900002,.00074019242,.10443729,.32380953,.53797466,.42105263,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,668.32251,343.37238,869.78601,1881.481,2,3,2,7,668.32251,579.14453,869.78601,2117.2529,2,5,4,11,668.32251,1177.9896,1768.0778,3614.3899,2,5,4,11,668.32251,1177.9896,1768.0778,3614.3899,0,3,2,5,0,834.61725,898.29175,1732.9089,0,0,0,0,6,1881.4807,8,2508.509,11,3614.3899,15,5316.0439,0,0,0,0,2,668.32239,2,668.32239,2,668.32239,4,1623.0605,0,0,0,0,2,343.37241,3,579.14459,5,1177.9896,6,1705.5304,0,0,0,0,2,869.78601,3,1261.0422,4,1768.078,5,1987.453,9,3434.563,2,954.73816,4,1362.158,3,1117.667
183,590,4,.5090909,2.5969999,.0067796609,.20975588,.5,.82352942,.79591835,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,235.77216,550.44867,786.22083,0,1,3,4,0,235.77216,1140.8206,1376.5928,2,3,3,8,668.32251,1149.2926,1140.8206,2958.4355,3,5,3,11,1224.0454,2399.3342,1140.8206,4764.2002,3,4,1,8,1224.0454,2163.562,590.37189,3977.9795,0,0,0,0,3,786.22089,6,2251.835,8,2958.4355,11,4764.2007,0,0,0,0,0,0,1,291.09409,2,668.32239,3,1224.0454,0,0,0,0,1,235.7722,2,819.92029,3,1149.2927,5,2399.3345,0,0,0,0,2,550.44867,3,1140.8206,3,1140.8206,3,1140.8206,8,3977.9795,3,1224.0454,4,2163.5623,1,590.37189
